Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666454355.914511,0,57556,0,GPS1_FRAME,42.33369166666667,-71.09855666666667,33.7,327109.83284374705,4688959.48094918,19,T
1666454356.9140475,0,57557,0,GPS1_FRAME,42.333726666666664,-71.098645,33.8,327102.65108192735,4688963.5470295595,19,T
1666454357.914674,0,57558,0,GPS1_FRAME,42.33376166666667,-71.09873166666667,34.0,327095.60664266394,4688967.609728734,19,T
1666454358.914964,0,57559,0,GPS1_FRAME,42.333795,-71.09882,34.1,327088.4203293642,4688971.490753581,19,T
1666454359.9148803,0,57560,0,GPS1_FRAME,42.33383,-71.09891166666667,34.1,327080.9639630016,4688975.563634948,19,T
1666454360.919916,0,57561,0,GPS1_FRAME,42.333865,-71.099005,34.1,327073.3702908243,4688979.639913803,19,T
1666454361.9196966,0,57562,0,GPS1_FRAME,42.3339,-71.09910666666667,33.8,327065.0900564665,4688983.733148339,19,T
1666454362.9151194,0,57563,0,GPS1_FRAME,42.333936666666666,-71.09921,33.5,327056.6770858355,4688988.01485323,19,T
1666454363.9161434,0,57564,0,GPS1_FRAME,42.33397333333333,-71.099315,33.1,327048.126811136,4688992.299958328,19,T
1666454364.9134645,0,57565,0,GPS1_FRAME,42.33401166666667,-71.09941666666667,33.5,327039.85574328096,4688996.763364958,19,T
1666454365.9147432,0,57566,0,GPS1_FRAME,42.334048333333335,-71.09952166666666,33.3,327031.30548881984,4689001.048491249,19,T
1666454366.9152343,0,57567,0,GPS1_FRAME,42.33408333333333,-71.09962666666667,33.1,327022.75067503366,4689005.148557645,19,T
1666454367.9150846,0,57568,0,GPS1_FRAME,42.334118333333336,-71.09972833333333,33.3,327014.47049822134,4689009.241853902,19,T
1666454368.9147599,0,57569,0,GPS1_FRAME,42.33415333333333,-71.09982833333333,33.3,327006.3276443285,4689013.331769637,19,T
1666454369.9160657,0,57570,0,GPS1_FRAME,42.334185,-71.099925,33.7,326998.45028652705,4689017.044772262,19,T
1666454370.9150875,0,57571,0,GPS1_FRAME,42.33421666666667,-71.10000833333334,34.2,326991.67144446506,4689020.730656707,19,T
1666454371.915261,0,57572,0,GPS1_FRAME,42.334241666666664,-71.10008166666667,34.2,326985.69820806757,4689023.655919075,19,T
1666454372.91454,0,57573,0,GPS1_FRAME,42.33426166666667,-71.10013666666667,34.3,326981.2217118159,4689025.988672304,19,T
1666454373.9143925,0,57574,0,GPS1_FRAME,42.334275,-71.10017166666667,34.8,326978.3746959247,4689027.540451596,19,T
1666454374.917843,0,57575,0,GPS1_FRAME,42.33428166666667,-71.10018833333334,35.5,326977.01984510035,4689028.314646094,19,T
1666454375.9211338,0,57576,0,GPS1_FRAME,42.33428333333333,-71.100195,36.4,326976.47516245546,4689028.513281564,19,T
1666454376.920628,0,57577,0,GPS1_FRAME,42.334285,-71.10020333333334,36.9,326975.7931665196,4689028.715308296,19,T
1666454377.9201596,0,57578,0,GPS1_FRAME,42.334293333333335,-71.100225,37.5,326974.03094700526,4689029.68474773,19,T
1666454378.920285,0,57579,0,GPS1_FRAME,42.334305,-71.10025333333333,38.3,326971.7286164072,4689031.037894149,19,T
1666454379.9161367,0,57580,0,GPS1_FRAME,42.334315,-71.10027833333334,38.7,326969.69634233357,4689032.199187993,19,T
1666454380.9198966,0,57581,0,GPS1_FRAME,42.33432166666667,-71.100295,39.0,326968.3414933155,4689032.9733842295,19,T
1666454381.9215717,0,57582,0,GPS1_FRAME,42.33432333333333,-71.1003,39.1,326967.93412448675,4689033.168629019,19,T
1666454382.921413,0,57583,0,GPS1_FRAME,42.33432333333333,-71.1003,39.1,326967.93412448675,4689033.168629019,19,T
1666454383.9227316,0,57584,0,GPS1_FRAME,42.33432333333333,-71.1003,39.1,326967.93412448675,4689033.168629019,19,T
1666454384.9219332,0,57585,0,GPS1_FRAME,42.33432333333333,-71.1003,39.1,326967.93412448675,4689033.168629019,19,T
1666454385.9147768,0,57586,0,GPS1_FRAME,42.33432666666667,-71.10030666666667,39.0,326967.3940133572,4689033.552335892,19,T
1666454386.9149642,0,57587,0,GPS1_FRAME,42.334338333333335,-71.10032166666667,39.5,326966.1901908745,4689034.878353212,19,T
1666454387.9156988,0,57588,0,GPS1_FRAME,42.334363333333336,-71.10033833333334,40.1,326964.88562350825,4689037.688327614,19,T
1666454388.9140046,0,57589,0,GPS1_FRAME,42.33439666666666,-71.10034333333333,40.8,326964.5651038923,4689041.399915517,19,T
1666454389.9145334,0,57590,0,GPS1_FRAME,42.334435,-71.10033166666666,42.3,326965.63142771873,4689045.632801103,19,T
1666454390.9149377,0,57591,0,GPS1_FRAME,42.33448333333333,-71.100305,42.9,326967.9609921403,4689050.94558836,19,T
1666454391.9144766,0,57592,0,GPS1_FRAME,42.334538333333334,-71.10026666666667,43.1,326971.2700261392,4689056.974919732,19,T
1666454392.9154234,0,57593,0,GPS1_FRAME,42.3346,-71.100225,42.9,326974.8719630833,4689063.737752766,19,T
1666454393.9145467,0,57594,0,GPS1_FRAME,42.334666666666664,-71.10018,42.7,326978.7622304815,4689071.0490171965,19,T
1666454394.9143875,0,57595,0,GPS1_FRAME,42.33473333333333,-71.100135,42.3,326982.65249026206,4689078.360283626,19,T
1666454395.9164095,0,57596,0,GPS1_FRAME,42.334805,-71.10009,42.0,326986.5564538557,4689086.226764118,19,T
1666454396.9151819,0,57597,0,GPS1_FRAME,42.33488,-71.10004,42.4,326990.8814861124,4689094.453215103,19,T
1666454397.915714,0,57598,0,GPS1_FRAME,42.334955,-71.09999,42.4,326995.2065088551,4689102.679668557,19,T
1666454398.915721,0,57599,0,GPS1_FRAME,42.33503,-71.09994,42.2,326999.5315220775,4689110.90612448,19,T
1666454399.9149418,0,57600,0,GPS1_FRAME,42.33510666666667,-71.09989333333333,40.4,327003.5864727991,4689119.324435013,19,T
1666454400.914229,0,57601,0,GPS1_FRAME,42.335181666666664,-71.09984666666666,38.6,327007.63684448536,4689127.55767701,19,T
1666454401.9157856,0,57602,0,GPS1_FRAME,42.335251666666665,-71.0998,37.1,327011.6734976559,4689135.235709078,19,T
1666454402.9162474,0,57603,0,GPS1_FRAME,42.335316666666664,-71.09975666666666,36.5,327015.4218110306,4689142.365312208,19,T
1666454403.9145255,0,57604,0,GPS1_FRAME,42.33537333333334,-71.099715,36.0,327019.0099577781,4689148.572954133,19,T
